section,chno,title,group,logo,url
AM RADIO STREAMS,10570,CKGL 570,RADIO - AM,https://upload.wikimedia.org/wikipedia/en/c/ce/570_NewsRadio_Kitchener.png,https://rogers-hls.leanstream.co/rogers/kit570.stream/playlist.m3u8
,10680,CFTR 680,RADIO - AM,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/680_NewsRadio_Toronto_logo.svg/500px-680_NewsRadio_Toronto_logo.svg.png,https://rogers-hls.leanstream.co/rogers/tor680.stream/playlist.m3u8
FM RADIO STREAMS,10915,CKBT 91.5,RADIO - FM,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/CKBT-FM_91.5_The_Beat_logo.svg/500px-CKBT-FM_91.5_The_Beat_logo.svg.png,https://corus-hls.leanstream.co/corus/CKBTFM.stream/playlist.m3u8
,10883,CJIQ 88.3,RADIO - FM,https://upload.wikimedia.org/wikipedia/en/b/bd/CJIQ_FM.png,https://conestoga.leanstream.co/conestoga/CJIQFM.stream/playlist.m3u8
,10891,CBLA 89.1,RADIO - FM,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Cbc_radio_one_paris.svg/500px-Cbc_radio_one_paris.svg.png,https://cbcradiolive.akamaized.net/hls/live/2040995/ES_R1EKW/master.m3u8
,10967,CHYM 96.7,RADIO - FM,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/CHYM_96.7CHYM_logo.png/330px-CHYM_96.7CHYM_logo.png,https://rogers-hls.leanstream.co/rogers/kit967.stream/playlist.m3u8
,11053,CFCA 105.3,RADIO - FM,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/105.3_Virgin_Radio_Logo.svg/330px-105.3_Virgin_Radio_Logo.svg.png,https://15313.live.streamtheworld.com/CFCAFM_ADP/HLS/playlist.m3u8
,11067,CIKZ 106.7,RADIO - FM,https://upload.wikimedia.org/wikipedia/en/a/a4/Country_106.7_FM_.png,https://rogers-hls.leanstream.co/rogers/kit1067.stream/playlist.m3u8
,11075,CJDV 107.5,RADIO - FM,https://upload.wikimedia.org/wikipedia/en/4/4f/107.5_Dave_Rocks.png,https://corus-hls.leanstream.co/corus/CJDVFM.stream/playlist.m3u8
