section,chno,title,group,logo,url
AM RADIO STREAMS,10590,CJCL 590 Sportsnet Radio,RADIO - AM,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/SN590TheFan.svg/500px-SN590TheFan.svg.png,https://rogers-hls.leanstream.co/rogers/tor590.stream/playlist.m3u8
,10590.1,CJCL 590 (Alt) Sportsnet Radio,RADIO - AM,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/SN590TheFan.svg/500px-SN590TheFan.svg.png,https://rogers-hls.leanstream.co/rogers/tor590_alt.stream/playlist.m3u8
,10650,CISL 650 Sportsnet Radio,RADIO - AM,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/SN650Vancouver.svg/500px-SN650Vancouver.svg.png,https://rogers-hls.leanstream.co/rogers/van650.stream/playlist.m3u8
,10650.1,CISL 650 (Alt) Sportsnet Radio,RADIO - AM,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/SN650Vancouver.svg/500px-SN650Vancouver.svg.png,https://rogers-hls.leanstream.co/rogers/van650_alt.stream/playlist.m3u8
,10960,CFAC 960 Sportsnet Radio,RADIO - AM,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/SN960TheFan.svg/500px-SN960TheFan.svg.png,https://rogers-hls.leanstream.co/rogers/cal960.stream/playlist.m3u8
,10960.1,CFAC 960 (Alt) Sportsnet Radio,RADIO - AM,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/SN960TheFan.svg/500px-SN960TheFan.svg.png,https://rogers-hls.leanstream.co/rogers/cal960_alt.stream/playlist.m3u8
