section,chno,title,group,logo,url
AM RADIO STREAMS,10560,CFOS 560,RADIO - AM,https://cdn.raddio.net/storage/photos/305941/2e797f51b808e1a315ac415ee2fe2edf.png,https://bayshore-ais.leanstream.co/bayshore-ais/CFOSAM.stream/playlist.m3u8
FM RADIO STREAMS,10937,CKYC 93.7,RADIO - FM,https://cdn.raddio.net/storage/photos/309137/2320a4b746310dd2832523a2edae89db.png,https://bayshore-ais.leanstream.co/bayshore-ais/CKYCFM.stream/playlist.m3u8
,10951,CKCB 95.1,RADIO - FM,https://cdn.raddio.net/storage/photos/271655/myb05adb681c8e9e7279308719.png,https://corus-hls.leanstream.co/corus/CKCBFM.stream/playlist.m3u8
,11065,CIXK 106.5,RADIO - FM,https://cdn.raddio.net/storage/photos/308084/e2f4626d3d8abb1f0cf5773b40c57ff5.jpg,https://bayshore-ais.leanstream.co/bayshore-ais/CIXKFM.stream/playlist.m3u8
