section,chno,title,group,logo,url
FM RADIO STREAMS,10891,CISO 89.1,RADIO - FM,https://cdn.raddio.net/storage/photos/309749/ecfd644100c767daf6c857e24c49eaf7.jpg,https://bayshore-ais.leanstream.co/bayshore-ais/CISOFM.stream/playlist.m3u8
,10931,CHAY 93.1,RADIO - FM,https://cdn.raddio.net/storage/photos/238200/59b45d812f3edaeabfc586bc2e8dee14.png,https://live.leanstream.co/CHAYFM-MP3?args=tunein
,10950,CFJB 95.7,RADIO - FM,https://cdn.raddio.net/storage/photos/307506/uvmt5c2cc1db98f68225176717.png,https://buf-live2-ais-relay1.leanstream.co/cob/CFJBFM.stream/playlist.m3u8
,11003,CJLF 100.3,RADIO - FM,https://cdn.raddio.net/storage/photos/14553/ivtc5c254c7912487041070460.png,http://netstream.lifeonline.fm/CJLF/128mp3
,11011,CIQB 101.1,RADIO - FM,https://cdn.raddio.net/storage/photos/308085/51e6ac0194519833a82315a2b6fe5447.png,https://corus-hls.leanstream.co/corus/CIQBFM.stream/playlist.m3u8
,11059,CICX 105.9,RADIO - FM,https://cdn.raddio.net/storage/photos/346890/c929ca1f198dbafddc580e7ef42f251e.jpg,https://15313.live.streamtheworld.com:443/CICXFM_ADP/HLS/playlist.m3u8
,11060,CICX 106,RADIO - FM,https://cdn.raddio.net/storage/photos/344323/79d92f4ff7efa8104b1c07c297b51066.png,https://15313.live.streamtheworld.com:443/CICXFM_ADP/HLS/playlist.m3u8
